nohup: ignoring input
Using device: cuda
Epoch: 0, Train Loss: 202.778854, Val Loss: 0.007859
Epoch: 1, Train Loss: 0.105436, Val Loss: 0.007857
Epoch: 2, Train Loss: 0.031036, Val Loss: 0.007883
Epoch: 3, Train Loss: 0.014989, Val Loss: 0.007889
Epoch: 4, Train Loss: 0.009986, Val Loss: 0.007890
Epoch: 5, Train Loss: 0.008739, Val Loss: 0.007890
Epoch: 6, Train Loss: 0.008033, Val Loss: 0.007890
Epoch: 7, Train Loss: 0.008088, Val Loss: 0.007890
Epoch: 8, Train Loss: 0.007967, Val Loss: 0.007890
Epoch: 9, Train Loss: 14.281357, Val Loss: 0.007890
Epoch: 10, Train Loss: 0.008022, Val Loss: 0.007890
Epoch: 11, Train Loss: 0.007878, Val Loss: 0.007890
Epoch: 12, Train Loss: 0.007867, Val Loss: 0.007890
Epoch: 13, Train Loss: 0.007882, Val Loss: 0.007890
Epoch: 14, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 15, Train Loss: 0.007869, Val Loss: 0.007890
Epoch: 16, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 17, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 18, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 19, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 20, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 21, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 22, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 23, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 24, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 25, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 26, Train Loss: 0.007867, Val Loss: 0.007890
Epoch: 27, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 28, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 29, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 30, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 31, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 32, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 33, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 34, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 35, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 36, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 37, Train Loss: 0.007869, Val Loss: 0.007890
Epoch: 38, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 39, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 40, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 41, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 42, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 43, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 44, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 45, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 46, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 47, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 48, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 49, Train Loss: 0.007866, Val Loss: 0.007890
Epoch: 50, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 51, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 52, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 53, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 54, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 55, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 56, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 57, Train Loss: 0.007865, Val Loss: 0.007890
Epoch: 58, Train Loss: 0.007865, Val Loss: 0.007890
